County,Model Year Category,Make,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Utility,Count
Stevens,2020s,TESLA,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,AVISTA CORP,27
Pierce,2010s,BMW,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),27
Clark,2020s,KIA,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),27
Pierce,2020s,MAZDA,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),27
Grays Harbor,2010s,NISSAN,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF GRAYS HARBOR COUNTY,27
Snohomish,2020s,KIA,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,PUGET SOUND ENERGY INC,27
Whatcom,2020s,TOYOTA,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,27
King,2010s,MERCEDES-BENZ,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),27
Benton,2010s,FORD,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,BONNEVILLE POWER ADMINISTRATION||CITY OF RICHLAND - (WA),27
Yakima,2020s,FORD,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,PACIFICORP,27
Yakima,2020s,KIA,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,PACIFICORP,27
Whatcom,2020s,NISSAN,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,26
Island,2020s,CHEVROLET,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,PUGET SOUND ENERGY INC,26
Kitsap,2010s,AUDI,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,PUGET SOUND ENERGY INC,26
Mason,2020s,TESLA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 3 OF MASON COUNTY,26
San Juan,2010s,TOYOTA,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,BONNEVILLE POWER ADMINISTRATION||ORCAS POWER & LIGHT COOP,26
Whatcom,2010s,KIA,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,26
Thurston,2020s,SUBARU,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC,26
Kittitas,2020s,FORD,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC,26
Whatcom,2010s,BMW,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,26
Chelan,2020s,CHEVROLET,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,PUD NO 1 OF CHELAN COUNTY,26
Pierce,2020s,MERCEDES-BENZ,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),26
Grant,2010s,CHEVROLET,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,PUD NO 2 OF GRANT COUNTY,26
Pierce,2010s,BMW,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,26
Jefferson,2020s,TESLA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY,26
Clark,2010s,BMW,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),26
Douglas,2020s,FORD,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,PUD NO 1 OF DOUGLAS COUNTY,25
San Juan,2020s,VOLKSWAGEN,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,BONNEVILLE POWER ADMINISTRATION||ORCAS POWER & LIGHT COOP,25
Pierce,2020s,LINCOLN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),25
Benton,2020s,KIA,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY,25
King,2020s,JAGUAR,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),25
Pierce,2020s,SUBARU,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,25
Jefferson,2020s,TOYOTA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY,25
Cowlitz,2010s,TOYOTA,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF COWLITZ COUNTY,25
Snohomish,2020s,HYUNDAI,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,25
San Juan,2020s,CHEVROLET,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,BONNEVILLE POWER ADMINISTRATION||ORCAS POWER & LIGHT COOP,25
Spokane,2010s,TOYOTA,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,MODERN ELECTRIC WATER COMPANY,25
Clark,2010s,MITSUBISHI,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),25
Kitsap,2020s,POLESTAR,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC,25
Clark,2020s,MAZDA,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),25
Clark,2020s,HYUNDAI,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),25
San Juan,2020s,TESLA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,BONNEVILLE POWER ADMINISTRATION||ORCAS POWER & LIGHT COOP,25
Cowlitz,2020s,TOYOTA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF COWLITZ COUNTY,25
Mason,2020s,JEEP,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 3 OF MASON COUNTY,25
Clallam,2010s,FORD,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLALLAM COUNTY,25
Cowlitz,2020s,HYUNDAI,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF COWLITZ COUNTY,25
Grant,2010s,FORD,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,PUD NO 2 OF GRANT COUNTY,25
King,2010s,HYUNDAI,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),25
Snohomish,2020s,NISSAN,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,25
Lewis,2010s,CHEVROLET,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 1 OF LEWIS COUNTY,25
Snohomish,2020s,VOLKSWAGEN,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,25
Mason,2010s,FORD,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 3 OF MASON COUNTY,25
Walla Walla,2020s,FORD,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,PACIFICORP,25
Franklin,2020s,TESLA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF FRANKLIN COUNTY,24
Pacific,2020s,TESLA,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,BONNEVILLE POWER ADMINISTRATION||PUD NO 2 OF PACIFIC COUNTY,24
Spokane,2020s,KIA,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,MODERN ELECTRIC WATER COMPANY,24
King,2020s,PORSCHE,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),24
Snohomish,2010s,CHEVROLET,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,24
Pierce,2020s,TOYOTA,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),24
Stevens,2020s,TESLA,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,NO KNOWN ELECTRIC UTILITY SERVICE,24
Kitsap,2020s,MAZDA,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,PUGET SOUND ENERGY INC,24
Whatcom,2020s,SUBARU,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,24
Kitsap,2020s,HYUNDAI,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,PUGET SOUND ENERGY INC,24
Jefferson,2020s,FORD,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY,24
Whatcom,2010s,TESLA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,CITY OF BLAINE - (WA)||PUD NO 1 OF WHATCOM COUNTY,24
Pierce,2010s,AUDI,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,24
Snohomish,2020s,KIA,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,24
King,2020s,LEXUS,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),24
Spokane,2020s,JEEP,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,MODERN ELECTRIC WATER COMPANY,24
Clallam,2020s,TOYOTA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLALLAM COUNTY,24
Pierce,2010s,HONDA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),24
Clallam,2020s,VOLKSWAGEN,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLALLAM COUNTY,24
Benton,2010s,TOYOTA,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY,23
Benton,2020s,BMW,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,BONNEVILLE POWER ADMINISTRATION||CITY OF RICHLAND - (WA),23
Island,2020s,TESLA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,23
Clark,2010s,PORSCHE,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),23
Thurston,2020s,AUDI,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC,23
Kittitas,2020s,RIVIAN,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC,23
Spokane,2020s,NISSAN,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,23
Spokane,2020s,TOYOTA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,MODERN ELECTRIC WATER COMPANY,23
Mason,2020s,TESLA,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 1 OF MASON COUNTY,23
Kittitas,2020s,TESLA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,PUGET SOUND ENERGY INC,23
Pierce,2010s,VOLVO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,23
Whatcom,2020s,MERCEDES-BENZ,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,23
Yakima,2020s,TESLA,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,BONNEVILLE POWER ADMINISTRATION||PACIFICORP||BENTON RURAL ELECTRIC ASSN,23
Pierce,2020s,POLESTAR,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,23
Chelan,2020s,NISSAN,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,PUD NO 1 OF CHELAN COUNTY,23
Spokane,2020s,MITSUBISHI,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,23
Kitsap,2010s,BMW,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,PUGET SOUND ENERGY INC,22
Spokane,2020s,AUDI,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,22
Benton,2010s,CHEVROLET,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,BONNEVILLE POWER ADMINISTRATION||CITY OF RICHLAND - (WA),22
Clark,2010s,SMART,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),22
Pierce,2020s,CADILLAC,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,22
Cowlitz,2010s,FORD,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF COWLITZ COUNTY,22
King,2020s,LAND ROVER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),22
Spokane,2010s,HONDA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,22
Spokane,2020s,TESLA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,BONNEVILLE POWER ADMINISTRATION||INLAND POWER & LIGHT COMPANY,22
Snohomish,2010s,PORSCHE,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,PUGET SOUND ENERGY INC,22
Benton,2020s,KIA,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,BONNEVILLE POWER ADMINISTRATION||CITY OF RICHLAND - (WA),22
Walla Walla,2010s,NISSAN,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,PACIFICORP,22
Chelan,2020s,VOLKSWAGEN,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,PUD NO 1 OF CHELAN COUNTY,22
Spokane,2020s,KIA,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,BONNEVILLE POWER ADMINISTRATION||VERA IRRIGATION DISTRICT #15,22
Whitman,2020s,TESLA,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,22
Franklin,2020s,FORD,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF FRANKLIN COUNTY,22
Mason,2020s,KIA,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 3 OF MASON COUNTY,22
King,2020s,FISKER,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),22
Pierce,2020s,KIA,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,22
Pierce,2020s,KIA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,22
Yakima,2020s,VOLKSWAGEN,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,PACIFICORP,22
Spokane,2020s,BMW,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,21
Yakima,2020s,RIVIAN,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,PACIFICORP,21
Whatcom,2020s,BMW,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,21
Island,2020s,CHEVROLET,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,21
Kitsap,2020s,KIA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,PUGET SOUND ENERGY INC,21
Whatcom,2020s,VOLVO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,21
King,2020s,HYUNDAI,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),21
Snohomish,2020s,LUCID,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC,21
Whatcom,2010s,AUDI,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,21
Okanogan,2020s,TESLA,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,PUD NO 1 OF OKANOGAN COUNTY,21
King,2010s,TESLA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,CITY OF TACOMA - (WA)||TANNER ELECTRIC COOP,21
Thurston,2010s,VOLKSWAGEN,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,PUGET SOUND ENERGY INC,21
Pierce,2010s,MITSUBISHI,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,21
Yakima,2010s,FORD,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,PACIFICORP,21
Clallam,2010s,NISSAN,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,BONNEVILLE POWER ADMINISTRATION||CITY OF PORT ANGELES - (WA),21
Lewis,2010s,NISSAN,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 1 OF LEWIS COUNTY,21
Lewis,2010s,TESLA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),21
Cowlitz,2010s,CHEVROLET,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF COWLITZ COUNTY,21
Pierce,2010s,CHRYSLER,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),21
Walla Walla,2020s,TOYOTA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,PACIFICORP,20
Kitsap,2010s,HONDA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,PUGET SOUND ENERGY INC,20
Yakima,2020s,JEEP,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,BONNEVILLE POWER ADMINISTRATION||PACIFICORP||BENTON RURAL ELECTRIC ASSN,20
Pierce,2020s,KIA,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||ELMHURST MUTUAL POWER & LIGHT CO|PENINSULA LIGHT COMPANY,20
Pierce,2010s,KIA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),20
Thurston,2020s,MAZDA,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,PUGET SOUND ENERGY INC,20
Pierce,2010s,NISSAN,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||ELMHURST MUTUAL POWER & LIGHT CO|PENINSULA LIGHT COMPANY,20
Pierce,2010s,CHEVROLET,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||ELMHURST MUTUAL POWER & LIGHT CO|PENINSULA LIGHT COMPANY,20
Walla Walla,2020s,JEEP,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,PACIFICORP,20
Clallam,2020s,KIA,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLALLAM COUNTY,20
Benton,2020s,CHEVROLET,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,BONNEVILLE POWER ADMINISTRATION||CITY OF RICHLAND - (WA),20
Whatcom,2010s,FIAT,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,20
King,2020s,HONDA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),20
Jefferson,2020s,HYUNDAI,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY,20
Jefferson,2020s,KIA,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY,20
Clark,2020s,KIA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),20
Clark,2020s,LINCOLN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),20
Whatcom,2020s,VOLVO,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,20
Whatcom,2020s,VOLVO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,20
Snohomish,2020s,LEXUS,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,PUGET SOUND ENERGY INC,20
Grays Harbor,2010s,CHEVROLET,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF GRAYS HARBOR COUNTY,20
Spokane,2010s,FORD,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,BONNEVILLE POWER ADMINISTRATION||VERA IRRIGATION DISTRICT #15,20
Kitsap,2020s,BMW,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,PUGET SOUND ENERGY INC,20
Pacific,2020s,TOYOTA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,BONNEVILLE POWER ADMINISTRATION||PUD NO 2 OF PACIFIC COUNTY,20
San Juan,2020s,NISSAN,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,BONNEVILLE POWER ADMINISTRATION||ORCAS POWER & LIGHT COOP,20
Spokane,2010s,BMW,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,20
Spokane,2020s,HYUNDAI,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,MODERN ELECTRIC WATER COMPANY,19
